time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.886,0.312,8.149,-3.868,0.204,0.204,4.227,2.737
1477010443100000,1.120,0.600,5.199,0.005,1.164,0.461,4.370,2.246,0.169,0.185,3.485,2.582
1477010443150000,1.380,0.601,5.199,0.011,1.298,0.538,4.089,2.264,0.152,0.163,3.068,2.504
1477010443200000,1.640,0.601,5.198,0.018,1.557,0.660,4.170,2.139,0.141,0.148,2.783,2.432
1477010443250000,1.900,0.602,5.198,0.027,1.824,0.657,4.688,1.493,0.132,0.137,2.549,2.299
1477010443300000,2.160,0.604,5.197,0.038,2.093,0.726,4.744,1.393,0.125,0.135,2.366,2.190
1477010443350000,2.420,0.606,5.196,0.050,2.332,0.736,4.851,1.147,0.121,0.135,2.216,2.085
1477010443400000,2.679,0.609,5.195,0.065,2.592,0.779,4.886,1.061,0.118,0.139,2.092,1.993
1477010443450000,2.939,0.613,5.193,0.081,2.871,0.766,5.056,0.784,0.114,0.140,1.985,1.904
1477010443500000,3.199,0.617,5.191,0.099,3.101,0.779,5.036,0.699,0.112,0.142,1.893,1.824
1477010443550000,3.458,0.623,5.190,0.118,3.389,0.701,5.164,0.257,0.109,0.138,1.813,1.747
1477010443600000,3.718,0.629,5.188,0.140,3.698,0.635,5.263,-0.059,0.105,0.133,1.742,1.679
1477010443650000,3.977,0.637,5.185,0.163,3.984,0.643,5.390,-0.010,0.101,0.128,1.679,1.619
1477010443700000,4.236,0.645,5.183,0.188,4.264,0.628,5.411,-0.065,0.098,0.124,1.624,1.566
1477010443750000,4.495,0.655,5.180,0.214,4.524,0.637,5.297,-0.034,0.095,0.120,1.572,1.517
1477010443800000,4.754,0.667,5.176,0.243,4.709,0.706,5.148,0.219,0.093,0.117,1.525,1.472
1477010443850000,5.013,0.680,5.173,0.273,4.963,0.696,5.024,0.137,0.091,0.113,1.483,1.431
1477010443900000,5.272,0.694,5.169,0.304,5.267,0.684,5.118,0.065,0.089,0.110,1.443,1.394
1477010443950000,5.530,0.710,5.164,0.338,5.529,0.685,5.266,0.075,0.087,0.108,1.407,1.360
1477010444000000,5.788,0.728,5.159,0.373,5.830,0.691,5.332,0.074,0.085,0.106,1.374,1.328
1477010444050000,6.046,0.748,5.154,0.410,6.069,0.632,5.127,-0.125,0.083,0.106,1.342,1.303
1477010444100000,6.304,0.769,5.148,0.448,6.324,0.718,5.116,0.159,0.081,0.104,1.312,1.276
1477010444150000,6.561,0.793,5.142,0.488,6.574,0.744,5.066,0.210,0.080,0.103,1.285,1.250
1477010444200000,6.818,0.818,5.135,0.530,6.821,0.743,5.056,0.176,0.078,0.102,1.259,1.227
1477010444250000,7.075,0.846,5.127,0.573,7.062,0.728,4.881,0.094,0.077,0.102,1.236,1.207
1477010444300000,7.331,0.875,5.119,0.618,7.275,0.806,4.817,0.315,0.076,0.101,1.214,1.186
1477010444350000,7.587,0.907,5.109,0.665,7.575,0.820,5.162,0.325,0.075,0.101,1.192,1.166
1477010444400000,7.842,0.942,5.100,0.712,7.831,0.798,5.161,0.215,0.073,0.103,1.171,1.149
1477010444450000,8.097,0.979,5.089,0.762,8.079,0.813,4.980,0.213,0.072,0.105,1.152,1.135
1477010444500000,8.351,1.018,5.078,0.813,8.315,0.831,4.955,0.234,0.071,0.109,1.133,1.121
1477010444550000,8.605,1.060,5.065,0.865,8.585,0.928,5.221,0.517,0.070,0.110,1.116,1.105
1477010444600000,8.858,1.105,5.052,0.919,8.827,0.988,5.181,0.618,0.070,0.110,1.099,1.089
1477010444650000,9.110,1.152,5.038,0.974,9.120,1.026,5.236,0.632,0.069,0.110,1.083,1.075
1477010444700000,9.362,1.202,5.023,1.031,9.361,1.058,5.199,0.635,0.068,0.112,1.068,1.061
1477010444750000,9.613,1.255,5.007,1.089,9.642,1.132,5.248,0.755,0.067,0.112,1.054,1.048
1477010444800000,9.863,1.311,4.989,1.148,9.921,1.264,5.265,1.015,0.067,0.111,1.041,1.034
1477010444850000,10.112,1.370,4.971,1.208,10.166,1.346,5.011,1.068,0.066,0.109,1.027,1.021
1477010444900000,10.360,1.432,4.951,1.270,10.387,1.426,4.953,1.146,0.066,0.108,1.014,1.008
1477010444950000,10.607,1.497,4.930,1.333,10.617,1.497,4.722,1.157,0.065,0.106,1.001,0.995
1477010445000000,10.853,1.565,4.908,1.397,10.836,1.521,4.696,1.068,0.064,0.105,0.990,0.985
1477010445050000,11.098,1.637,4.884,1.462,11.108,1.561,4.890,1.039,0.063,0.105,0.978,0.975
1477010445100000,11.342,1.712,4.859,1.528,11.391,1.607,4.961,1.017,0.063,0.105,0.966,0.967
1477010445150000,11.584,1.790,4.833,1.596,11.623,1.647,4.865,0.982,0.062,0.106,0.955,0.960
1477010445200000,11.825,1.871,4.805,1.664,11.850,1.717,4.834,1.040,0.062,0.107,0.945,0.954
1477010445250000,12.065,1.956,4.776,1.733,12.110,1.802,4.991,1.153,0.062,0.108,0.935,0.947
1477010445300000,12.303,2.045,4.745,1.803,12.356,1.833,4.988,1.080,0.061,0.112,0.926,0.943
1477010445350000,12.539,2.137,4.713,1.873,12.616,1.881,5.095,1.074,0.062,0.116,0.918,0.940
1477010445400000,12.774,2.232,4.678,1.945,12.817,2.033,4.984,1.348,0.061,0.119,0.909,0.935
1477010445450000,13.007,2.331,4.643,2.017,13.087,2.141,5.128,1.483,0.062,0.121,0.903,0.928
1477010445500000,13.239,2.434,4.605,2.090,13.294,2.296,5.022,1.709,0.062,0.121,0.896,0.921
1477010445550000,13.468,2.540,4.566,2.163,13.468,2.416,4.610,1.752,0.061,0.121,0.887,0.914
1477010445600000,13.696,2.651,4.524,2.237,13.717,2.543,4.635,1.852,0.061,0.121,0.879,0.906
1477010445650000,13.921,2.764,4.481,2.311,13.938,2.641,4.581,1.863,0.060,0.121,0.871,0.900
1477010445700000,14.144,2.882,4.437,2.386,14.166,2.810,4.564,2.066,0.060,0.120,0.863,0.893
1477010445750000,14.365,3.003,4.390,2.461,14.420,2.914,4.742,2.088,0.060,0.120,0.857,0.886
1477010445800000,14.583,3.128,4.341,2.536,14.629,2.985,4.696,2.004,0.059,0.120,0.850,0.881
1477010445850000,14.799,3.257,4.290,2.612,14.862,3.134,4.737,2.152,0.059,0.120,0.845,0.876
1477010445900000,15.012,3.389,4.237,2.687,15.073,3.345,4.666,2.431,0.059,0.119,0.840,0.869
1477010445950000,15.223,3.526,4.183,2.762,15.285,3.492,4.459,2.460,0.059,0.118,0.833,0.863
1477010446000000,15.431,3.666,4.126,2.838,15.500,3.695,4.424,2.672,0.060,0.117,0.827,0.856
1477010446050000,15.636,3.810,4.067,2.913,15.713,3.808,4.361,2.608,0.060,0.116,0.822,0.850
