time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.312,0.580,0.000,0.000,0.438,0.020,5.200,0.001
1477010443100000,1.120,0.600,5.199,0.005,1.172,0.481,7.817,-0.901,0.358,0.071,4.507,0.523
1477010443150000,1.380,0.601,5.199,0.011,1.172,0.481,7.817,-0.901,0.327,0.085,4.116,0.643
1477010443200000,1.640,0.601,5.198,0.018,1.657,0.620,4.980,1.284,0.293,0.077,3.683,0.807
1477010443250000,1.900,0.602,5.198,0.027,1.657,0.620,4.980,1.284,0.285,0.070,3.363,0.898
1477010443300000,2.160,0.604,5.197,0.038,2.183,0.666,5.144,0.799,0.264,0.069,3.114,0.880
1477010443350000,2.420,0.606,5.196,0.050,2.183,0.666,5.144,0.799,0.261,0.068,2.913,0.864
1477010443400000,2.679,0.609,5.195,0.065,2.668,0.690,5.015,0.554,0.246,0.070,2.747,0.831
1477010443450000,2.939,0.613,5.193,0.081,2.668,0.690,5.015,0.554,0.249,0.071,2.607,0.803
1477010443500000,3.199,0.617,5.191,0.099,3.074,0.680,4.670,0.316,0.240,0.070,2.490,0.768
1477010443550000,3.458,0.623,5.190,0.118,3.074,0.680,4.670,0.316,0.255,0.069,2.389,0.738
1477010443600000,3.718,0.629,5.188,0.140,3.734,0.493,5.295,-0.391,0.245,0.076,2.295,0.724
1477010443650000,3.977,0.637,5.185,0.163,3.734,0.493,5.295,-0.391,0.245,0.083,2.212,0.713
1477010443700000,4.236,0.645,5.183,0.188,4.287,0.517,5.367,-0.194,0.237,0.087,2.138,0.696
1477010443750000,4.495,0.655,5.180,0.214,4.287,0.517,5.367,-0.194,0.235,0.091,2.070,0.681
1477010443800000,4.754,0.667,5.176,0.243,4.594,0.693,4.665,0.403,0.232,0.088,2.012,0.662
1477010443850000,5.013,0.680,5.173,0.273,4.594,0.693,4.665,0.403,0.246,0.086,1.959,0.644
1477010443900000,5.272,0.694,5.169,0.304,5.278,0.693,5.334,0.279,0.239,0.084,1.907,0.627
1477010443950000,5.530,0.710,5.164,0.338,5.278,0.693,5.334,0.279,0.240,0.082,1.860,0.611
1477010444000000,5.788,0.728,5.159,0.373,5.910,0.715,5.641,0.262,0.236,0.080,1.818,0.597
1477010444050000,6.046,0.748,5.154,0.410,5.910,0.715,5.641,0.262,0.232,0.078,1.779,0.584
1477010444100000,6.304,0.769,5.148,0.448,6.413,0.838,5.449,0.565,0.228,0.078,1.741,0.572
1477010444150000,6.561,0.793,5.142,0.488,6.413,0.838,5.449,0.565,0.225,0.077,1.706,0.560
1477010444200000,6.818,0.818,5.135,0.530,6.876,0.810,5.192,0.300,0.221,0.075,1.671,0.551
1477010444250000,7.075,0.846,5.127,0.573,6.876,0.810,5.192,0.300,0.220,0.074,1.639,0.543
1477010444300000,7.331,0.875,5.119,0.618,7.274,0.895,4.816,0.471,0.216,0.073,1.609,0.533
1477010444350000,7.587,0.907,5.109,0.665,7.274,0.895,4.816,0.471,0.221,0.071,1.581,0.525
1477010444400000,7.842,0.942,5.100,0.712,7.779,0.838,4.888,0.145,0.217,0.073,1.554,0.526
1477010444450000,8.097,0.979,5.089,0.762,7.779,0.838,4.888,0.145,0.221,0.076,1.528,0.530
1477010444500000,8.351,1.018,5.078,0.813,8.259,0.847,4.859,0.128,0.218,0.081,1.504,0.535
1477010444550000,8.605,1.060,5.065,0.865,8.259,0.847,4.859,0.128,0.223,0.088,1.481,0.543
1477010444600000,8.858,1.105,5.052,0.919,8.745,0.948,4.861,0.404,0.221,0.091,1.459,0.542
1477010444650000,9.110,1.152,5.038,0.974,8.745,0.948,4.861,0.404,0.226,0.096,1.437,0.543
1477010444700000,9.362,1.202,5.023,1.031,9.243,1.017,4.897,0.493,0.224,0.100,1.417,0.543
1477010444750000,9.613,1.255,5.007,1.089,9.243,1.017,4.897,0.493,0.229,0.106,1.397,0.544
1477010444800000,9.863,1.311,4.989,1.148,9.880,1.244,5.358,1.047,0.226,0.105,1.379,0.537
1477010444850000,10.112,1.370,4.971,1.208,9.880,1.244,5.358,1.047,0.226,0.106,1.363,0.531
1477010444900000,10.360,1.432,4.951,1.270,10.338,1.400,5.115,1.209,0.223,0.105,1.345,0.524
1477010444950000,10.607,1.497,4.930,1.333,10.338,1.400,5.115,1.209,0.225,0.105,1.329,0.518
1477010445000000,10.853,1.565,4.908,1.397,10.794,1.489,4.942,1.109,0.222,0.104,1.312,0.513
1477010445050000,11.098,1.637,4.884,1.462,10.794,1.489,4.942,1.109,0.224,0.105,1.297,0.510
1477010445100000,11.342,1.712,4.859,1.528,11.428,1.607,5.378,1.131,0.222,0.105,1.284,0.508
1477010445150000,11.584,1.790,4.833,1.596,11.428,1.607,5.378,1.131,0.221,0.108,1.272,0.507
