time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.312,0.580,0.000,0.000,0.438,0.020,5.200,0.001
1477010443100000,1.120,0.600,5.199,0.005,1.170,0.481,7.801,-0.899,0.358,0.070,4.504,0.522
1477010443150000,1.380,0.601,5.199,0.011,1.170,0.481,7.801,-0.899,0.328,0.085,4.111,0.641
1477010443200000,1.640,0.601,5.198,0.018,1.663,0.615,5.152,1.160,0.293,0.077,3.677,0.768
1477010443250000,1.900,0.602,5.198,0.027,1.663,0.615,5.152,1.160,0.285,0.070,3.357,0.840
1477010443300000,2.160,0.604,5.197,0.038,2.187,0.664,5.204,0.769,0.264,0.069,3.108,0.825
1477010443350000,2.420,0.606,5.196,0.050,2.187,0.664,5.204,0.769,0.260,0.067,2.907,0.813
1477010443400000,2.679,0.609,5.195,0.065,2.671,0.689,5.051,0.548,0.245,0.069,2.741,0.783
1477010443450000,2.939,0.613,5.193,0.081,2.671,0.689,5.051,0.548,0.248,0.070,2.601,0.757
1477010443500000,3.199,0.617,5.191,0.099,3.078,0.680,4.712,0.327,0.239,0.069,2.484,0.725
1477010443550000,3.458,0.623,5.190,0.118,3.078,0.680,4.712,0.327,0.254,0.068,2.383,0.697
1477010443600000,3.718,0.629,5.188,0.140,3.733,0.499,5.259,-0.309,0.244,0.075,2.289,0.681
1477010443650000,3.977,0.637,5.185,0.163,3.733,0.499,5.259,-0.309,0.244,0.081,2.206,0.669
1477010443700000,4.236,0.645,5.183,0.188,4.283,0.522,5.326,-0.162,0.236,0.084,2.132,0.652
1477010443750000,4.495,0.655,5.180,0.214,4.283,0.522,5.326,-0.162,0.234,0.088,2.064,0.638
1477010443800000,4.754,0.667,5.176,0.243,4.605,0.684,4.773,0.307,0.230,0.086,2.005,0.620
1477010443850000,5.013,0.680,5.173,0.273,4.605,0.684,4.773,0.307,0.244,0.083,1.951,0.602
1477010443900000,5.272,0.694,5.169,0.304,5.272,0.686,5.264,0.232,0.237,0.081,1.899,0.586
1477010443950000,5.530,0.710,5.164,0.338,5.272,0.686,5.264,0.232,0.238,0.079,1.851,0.572
1477010444000000,5.788,0.728,5.159,0.373,5.893,0.709,5.509,0.231,0.234,0.078,1.808,0.559
1477010444050000,6.046,0.748,5.154,0.410,5.893,0.709,5.509,0.231,0.231,0.076,1.768,0.548
1477010444100000,6.304,0.769,5.148,0.448,6.401,0.822,5.399,0.466,0.226,0.075,1.730,0.536
1477010444150000,6.561,0.793,5.142,0.488,6.401,0.822,5.399,0.466,0.224,0.074,1.694,0.524
1477010444200000,6.818,0.818,5.135,0.530,6.876,0.805,5.226,0.298,0.220,0.073,1.660,0.516
1477010444250000,7.075,0.846,5.127,0.573,6.876,0.805,5.226,0.298,0.219,0.072,1.628,0.509
1477010444300000,7.331,0.875,5.119,0.618,7.291,0.885,4.943,0.431,0.215,0.070,1.598,0.500
1477010444350000,7.587,0.907,5.109,0.665,7.291,0.885,4.943,0.431,0.218,0.069,1.569,0.493
1477010444400000,7.842,0.942,5.100,0.712,7.793,0.842,4.965,0.204,0.215,0.070,1.542,0.494
1477010444450000,8.097,0.979,5.089,0.762,7.793,0.842,4.965,0.204,0.218,0.074,1.517,0.496
1477010444500000,8.351,1.018,5.078,0.813,8.273,0.853,4.920,0.180,0.215,0.078,1.492,0.501
1477010444550000,8.605,1.060,5.065,0.865,8.273,0.853,4.920,0.180,0.220,0.085,1.469,0.508
1477010444600000,8.858,1.105,5.052,0.919,8.757,0.944,4.900,0.372,0.217,0.088,1.447,0.509
1477010444650000,9.110,1.152,5.038,0.974,8.757,0.944,4.900,0.372,0.222,0.094,1.425,0.512
1477010444700000,9.362,1.202,5.023,1.031,9.251,1.009,4.909,0.446,0.220,0.098,1.405,0.514
1477010444750000,9.613,1.255,5.007,1.089,9.251,1.009,4.909,0.446,0.225,0.105,1.386,0.518
1477010444800000,9.863,1.311,4.989,1.148,9.868,1.215,5.242,0.871,0.222,0.105,1.367,0.513
1477010444850000,10.112,1.370,4.971,1.208,9.868,1.215,5.242,0.871,0.223,0.107,1.350,0.509
1477010444900000,10.360,1.432,4.951,1.270,10.333,1.367,5.087,1.041,0.220,0.106,1.333,0.504
1477010444950000,10.607,1.497,4.930,1.333,10.333,1.367,5.087,1.041,0.221,0.106,1.316,0.500
1477010445000000,10.853,1.565,4.908,1.397,10.796,1.463,4.967,1.021,0.219,0.106,1.300,0.497
1477010445050000,11.098,1.637,4.884,1.462,10.796,1.463,4.967,1.021,0.221,0.108,1.285,0.496
1477010445100000,11.342,1.712,4.859,1.528,11.414,1.586,5.286,1.074,0.219,0.109,1.271,0.495
1477010445150000,11.584,1.790,4.833,1.596,11.414,1.586,5.286,1.074,0.218,0.112,1.259,0.496
