time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.312,0.580,0.000,0.000,0.438,0.020,5.200,0.001
1477010443100000,1.120,0.600,5.199,0.005,1.173,0.481,7.826,-0.902,0.359,0.071,4.508,0.524
1477010443150000,1.380,0.601,5.199,0.011,1.173,0.481,7.826,-0.902,0.327,0.085,4.119,0.643
1477010443200000,1.640,0.601,5.198,0.018,1.654,0.622,4.868,1.365,0.293,0.077,3.687,0.833
1477010443250000,1.900,0.602,5.198,0.027,1.654,0.622,4.868,1.365,0.286,0.071,3.369,0.936
1477010443300000,2.160,0.604,5.197,0.038,2.181,0.667,5.109,0.814,0.264,0.070,3.119,0.915
1477010443350000,2.420,0.606,5.196,0.050,2.181,0.667,5.109,0.814,0.261,0.069,2.918,0.897
1477010443400000,2.679,0.609,5.195,0.065,2.666,0.690,4.993,0.548,0.247,0.070,2.752,0.861
1477010443450000,2.939,0.613,5.193,0.081,2.666,0.690,4.993,0.548,0.249,0.071,2.611,0.830
1477010443500000,3.199,0.617,5.191,0.099,3.070,0.678,4.617,0.283,0.241,0.070,2.496,0.794
1477010443550000,3.458,0.623,5.190,0.118,3.070,0.678,4.617,0.283,0.256,0.069,2.395,0.761
1477010443600000,3.718,0.629,5.188,0.140,3.740,0.479,5.396,-0.565,0.246,0.078,2.302,0.757
1477010443650000,3.977,0.637,5.185,0.163,3.740,0.479,5.396,-0.565,0.246,0.086,2.219,0.755
1477010443700000,4.236,0.645,5.183,0.188,4.296,0.509,5.458,-0.245,0.238,0.091,2.145,0.738
1477010443750000,4.495,0.655,5.180,0.214,4.296,0.509,5.458,-0.245,0.236,0.095,2.078,0.724
1477010443800000,4.754,0.667,5.176,0.243,4.577,0.708,4.459,0.600,0.233,0.093,2.023,0.708
1477010443850000,5.013,0.680,5.173,0.273,4.577,0.708,4.459,0.600,0.248,0.090,1.974,0.692
1477010443900000,5.272,0.694,5.169,0.304,5.289,0.704,5.472,0.355,0.242,0.088,1.922,0.674
1477010443950000,5.530,0.710,5.164,0.338,5.289,0.704,5.472,0.355,0.242,0.086,1.875,0.657
1477010444000000,5.788,0.728,5.159,0.373,5.936,0.723,5.851,0.292,0.238,0.084,1.836,0.641
1477010444050000,6.046,0.748,5.154,0.410,5.936,0.723,5.851,0.292,0.234,0.082,1.800,0.627
1477010444100000,6.304,0.769,5.148,0.448,6.425,0.858,5.485,0.694,0.230,0.082,1.762,0.615
1477010444150000,6.561,0.793,5.142,0.488,6.425,0.858,5.485,0.694,0.227,0.082,1.726,0.604
1477010444200000,6.818,0.818,5.135,0.530,6.871,0.813,5.094,0.259,0.223,0.080,1.691,0.594
1477010444250000,7.075,0.846,5.127,0.573,6.871,0.813,5.094,0.259,0.222,0.079,1.658,0.586
1477010444300000,7.331,0.875,5.119,0.618,7.250,0.902,4.598,0.501,0.218,0.077,1.630,0.575
1477010444350000,7.587,0.907,5.109,0.665,7.250,0.902,4.598,0.501,0.224,0.076,1.604,0.566
1477010444400000,7.842,0.942,5.100,0.712,7.761,0.827,4.793,0.025,0.220,0.078,1.577,0.570
1477010444450000,8.097,0.979,5.089,0.762,7.761,0.827,4.793,0.025,0.225,0.081,1.551,0.577
1477010444500000,8.351,1.018,5.078,0.813,8.244,0.835,4.809,0.047,0.222,0.086,1.527,0.584
1477010444550000,8.605,1.060,5.065,0.865,8.244,0.835,4.809,0.047,0.228,0.094,1.504,0.592
1477010444600000,8.858,1.105,5.052,0.919,8.736,0.952,4.851,0.472,0.225,0.096,1.481,0.588
1477010444650000,9.110,1.152,5.038,0.974,8.736,0.952,4.851,0.472,0.231,0.101,1.459,0.586
1477010444700000,9.362,1.202,5.023,1.031,9.240,1.026,4.921,0.574,0.229,0.104,1.439,0.583
1477010444750000,9.613,1.255,5.007,1.089,9.240,1.026,4.921,0.574,0.234,0.109,1.419,0.581
1477010444800000,9.863,1.311,4.989,1.148,9.902,1.278,5.567,1.314,0.231,0.108,1.402,0.574
1477010444850000,10.112,1.370,4.971,1.208,9.902,1.278,5.567,1.314,0.230,0.107,1.387,0.566
1477010444900000,10.360,1.432,4.951,1.270,10.346,1.436,5.139,1.415,0.227,0.106,1.370,0.560
1477010444950000,10.607,1.497,4.930,1.333,10.346,1.436,5.139,1.415,0.228,0.105,1.353,0.553
1477010445000000,10.853,1.565,4.908,1.397,10.791,1.511,4.876,1.160,0.226,0.104,1.336,0.547
1477010445050000,11.098,1.637,4.884,1.462,10.791,1.511,4.876,1.160,0.228,0.105,1.320,0.543
1477010445100000,11.342,1.712,4.859,1.528,11.444,1.620,5.506,1.136,0.226,0.105,1.309,0.540
1477010445150000,11.584,1.790,4.833,1.596,11.444,1.620,5.506,1.136,0.224,0.106,1.298,0.538
