time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.000,0.000,0.000,0.000,0.600,0.600,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.863,0.534,4.160,2.575,0.424,0.427,3.750,1.820
1477010443100000,1.120,0.600,5.199,0.005,0.863,0.534,4.160,2.575,0.377,0.351,3.120,2.100
1477010443150000,1.380,0.601,5.199,0.011,0.954,0.472,4.401,0.975,0.390,0.310,2.731,1.881
1477010443200000,1.640,0.601,5.198,0.018,0.954,0.472,4.401,0.975,0.464,0.284,2.469,1.736
1477010443250000,1.900,0.602,5.198,0.027,1.559,0.456,5.426,-0.436,0.446,0.266,2.256,1.596
1477010443300000,2.160,0.604,5.197,0.038,1.559,0.456,5.426,-0.436,0.471,0.252,2.090,1.489
1477010443350000,2.420,0.606,5.196,0.050,2.006,0.519,5.085,0.265,0.464,0.238,1.955,1.395
1477010443400000,2.679,0.609,5.195,0.065,2.006,0.519,5.085,0.265,0.492,0.226,1.844,1.317
1477010443450000,2.939,0.613,5.193,0.081,2.623,0.573,5.210,0.263,0.477,0.215,1.749,1.250
1477010443500000,3.199,0.617,5.191,0.099,2.623,0.573,5.210,0.263,0.487,0.206,1.668,1.193
1477010443550000,3.458,0.623,5.190,0.118,3.237,0.525,5.290,-0.133,0.471,0.199,1.597,1.145
1477010443600000,3.718,0.629,5.188,0.140,3.237,0.525,5.290,-0.133,0.471,0.193,1.535,1.102
1477010443650000,3.977,0.637,5.185,0.163,3.841,0.575,5.411,0.066,0.456,0.187,1.480,1.063
1477010443700000,4.236,0.645,5.183,0.188,3.841,0.575,5.411,0.066,0.452,0.182,1.431,1.027
1477010443750000,4.495,0.655,5.180,0.214,4.401,0.615,5.256,0.147,0.438,0.176,1.386,0.995
1477010443800000,4.754,0.667,5.176,0.243,4.401,0.615,5.256,0.147,0.434,0.171,1.345,0.965
1477010443850000,5.013,0.680,5.173,0.273,4.945,0.631,5.024,0.111,0.422,0.167,1.307,0.939
1477010443900000,5.272,0.694,5.169,0.304,4.945,0.631,5.024,0.111,0.417,0.163,1.273,0.915
1477010443950000,5.530,0.710,5.164,0.338,5.440,0.652,5.265,0.175,0.407,0.159,1.241,0.892
1477010444000000,5.788,0.728,5.159,0.373,5.440,0.652,5.265,0.175,0.405,0.156,1.211,0.872
1477010444050000,6.046,0.748,5.154,0.410,5.944,0.559,5.058,-0.171,0.396,0.158,1.183,0.861
1477010444100000,6.304,0.769,5.148,0.448,5.944,0.559,5.058,-0.171,0.394,0.161,1.158,0.852
1477010444150000,6.561,0.793,5.142,0.488,6.459,0.644,5.024,0.127,0.387,0.160,1.133,0.837
1477010444200000,6.818,0.818,5.135,0.530,6.459,0.644,5.024,0.127,0.386,0.161,1.111,0.824
1477010444250000,7.075,0.846,5.127,0.573,6.979,0.639,4.825,0.056,0.379,0.163,1.091,0.814
1477010444300000,7.331,0.875,5.119,0.618,6.979,0.639,4.825,0.056,0.378,0.166,1.072,0.806
1477010444350000,7.587,0.907,5.109,0.665,7.562,0.695,5.248,0.214,0.371,0.168,1.053,0.796
1477010444400000,7.842,0.942,5.100,0.712,7.562,0.695,5.248,0.214,0.368,0.171,1.035,0.788
1477010444450000,8.097,0.979,5.089,0.762,8.088,0.764,4.952,0.308,0.362,0.173,1.018,0.779
1477010444500000,8.351,1.018,5.078,0.813,8.088,0.764,4.952,0.308,0.359,0.176,1.002,0.772
1477010444550000,8.605,1.060,5.065,0.865,8.583,1.029,5.240,0.954,0.354,0.173,0.986,0.760
1477010444600000,8.858,1.105,5.052,0.919,8.583,1.029,5.240,0.954,0.351,0.171,0.972,0.748
1477010444650000,9.110,1.152,5.038,0.974,9.182,1.110,5.245,0.896,0.346,0.169,0.958,0.737
1477010444700000,9.362,1.202,5.023,1.031,9.182,1.110,5.245,0.896,0.343,0.167,0.945,0.727
1477010444750000,9.613,1.255,5.007,1.089,9.737,1.295,5.238,1.110,0.339,0.165,0.933,0.717
1477010444800000,9.863,1.311,4.989,1.148,9.737,1.295,5.238,1.110,0.335,0.163,0.921,0.707
1477010444850000,10.112,1.370,4.971,1.208,10.249,1.493,4.902,1.258,0.331,0.162,0.909,0.698
1477010444900000,10.360,1.432,4.951,1.270,10.249,1.493,4.902,1.258,0.327,0.160,0.897,0.689
1477010444950000,10.607,1.497,4.930,1.333,10.726,1.637,4.621,1.258,0.324,0.160,0.887,0.680
1477010445000000,10.853,1.565,4.908,1.397,10.726,1.637,4.621,1.258,0.320,0.158,0.877,0.672
1477010445050000,11.098,1.637,4.884,1.462,11.250,1.648,4.903,1.021,0.317,0.156,0.867,0.668
1477010445100000,11.342,1.712,4.859,1.528,11.250,1.648,4.903,1.021,0.314,0.155,0.857,0.665
1477010445150000,11.584,1.790,4.833,1.596,11.713,1.691,4.822,0.894,0.311,0.154,0.847,0.665
1477010445200000,11.825,1.871,4.805,1.664,11.713,1.691,4.822,0.894,0.308,0.154,0.837,0.668
1477010445250000,12.065,1.956,4.776,1.733,12.199,1.901,5.009,1.185,0.305,0.153,0.829,0.666
1477010445300000,12.303,2.045,4.745,1.803,12.199,1.901,5.009,1.185,0.302,0.153,0.821,0.665
1477010445350000,12.539,2.137,4.713,1.873,12.703,1.953,5.130,1.063,0.300,0.153,0.815,0.668
1477010445400000,12.774,2.232,4.678,1.945,12.703,1.953,5.130,1.063,0.297,0.157,0.809,0.673
1477010445450000,13.007,2.331,4.643,2.017,13.209,2.239,5.199,1.447,0.296,0.156,0.805,0.671
1477010445500000,13.239,2.434,4.605,2.090,13.209,2.239,5.199,1.447,0.293,0.157,0.801,0.671
1477010445550000,13.468,2.540,4.566,2.163,13.558,2.589,4.536,1.765,0.290,0.155,0.793,0.666
1477010445600000,13.696,2.651,4.524,2.237,13.558,2.589,4.536,1.765,0.288,0.154,0.786,0.663
1477010445650000,13.921,2.764,4.481,2.311,13.995,2.764,4.533,1.770,0.285,0.153,0.779,0.661
1477010445700000,14.144,2.882,4.437,2.386,13.995,2.764,4.533,1.770,0.284,0.152,0.772,0.660
1477010445750000,14.365,3.003,4.390,2.461,14.487,2.921,4.813,1.770,0.282,0.151,0.767,0.661
1477010445800000,14.583,3.128,4.341,2.536,14.487,2.921,4.813,1.770,0.279,0.152,0.763,0.663
1477010445850000,14.799,3.257,4.290,2.612,14.913,3.341,4.744,2.247,0.277,0.151,0.758,0.659
