time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.000,0.000,0.000,0.000,0.600,0.600,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.863,0.534,4.160,2.575,0.424,0.427,3.750,1.820
1477010443100000,1.120,0.600,5.199,0.005,0.863,0.534,4.160,2.575,0.377,0.351,3.120,2.100
1477010443150000,1.380,0.601,5.199,0.011,0.981,0.483,4.397,0.975,0.383,0.309,2.731,1.881
1477010443200000,1.640,0.601,5.198,0.018,0.981,0.483,4.397,0.975,0.452,0.282,2.469,1.736
1477010443250000,1.900,0.602,5.198,0.027,1.578,0.443,5.470,-0.691,0.433,0.265,2.257,1.612
1477010443300000,2.160,0.604,5.197,0.038,1.578,0.443,5.470,-0.691,0.457,0.253,2.092,1.518
1477010443350000,2.420,0.606,5.196,0.050,2.031,0.510,5.093,0.110,0.449,0.239,1.957,1.420
1477010443400000,2.679,0.609,5.195,0.065,2.031,0.510,5.093,0.110,0.475,0.228,1.846,1.339
1477010443450000,2.939,0.613,5.193,0.081,2.641,0.555,5.201,0.127,0.461,0.217,1.751,1.270
1477010443500000,3.199,0.617,5.191,0.099,2.641,0.555,5.201,0.127,0.470,0.208,1.669,1.211
1477010443550000,3.458,0.623,5.190,0.118,3.252,0.516,5.272,-0.094,0.454,0.201,1.598,1.161
1477010443600000,3.718,0.629,5.188,0.140,3.252,0.516,5.272,-0.094,0.455,0.196,1.536,1.117
1477010443650000,3.977,0.637,5.185,0.163,3.859,0.554,5.391,-0.010,0.440,0.190,1.481,1.078
1477010443700000,4.236,0.645,5.183,0.188,3.859,0.554,5.391,-0.010,0.436,0.185,1.432,1.042
1477010443750000,4.495,0.655,5.180,0.214,4.416,0.585,5.284,0.030,0.422,0.180,1.387,1.010
1477010443800000,4.754,0.667,5.176,0.243,4.416,0.585,5.284,0.030,0.418,0.176,1.346,0.982
1477010443850000,5.013,0.680,5.173,0.273,4.957,0.600,5.088,0.019,0.406,0.172,1.308,0.956
1477010443900000,5.272,0.694,5.169,0.304,4.957,0.600,5.088,0.019,0.402,0.169,1.273,0.933
1477010443950000,5.530,0.710,5.164,0.338,5.453,0.620,5.249,0.080,0.392,0.166,1.241,0.911
1477010444000000,5.788,0.728,5.159,0.373,5.453,0.620,5.249,0.080,0.390,0.163,1.211,0.891
1477010444050000,6.046,0.748,5.154,0.410,5.951,0.578,5.078,-0.014,0.381,0.164,1.183,0.875
1477010444100000,6.304,0.769,5.148,0.448,5.951,0.578,5.078,-0.014,0.380,0.165,1.158,0.862
1477010444150000,6.561,0.793,5.142,0.488,6.471,0.628,5.055,0.069,0.373,0.165,1.133,0.848
1477010444200000,6.818,0.818,5.135,0.530,6.471,0.628,5.055,0.069,0.372,0.166,1.110,0.836
1477010444250000,7.075,0.846,5.127,0.573,6.989,0.626,4.882,0.042,0.365,0.168,1.090,0.826
1477010444300000,7.331,0.875,5.119,0.618,6.989,0.626,4.882,0.042,0.364,0.172,1.071,0.818
1477010444350000,7.587,0.907,5.109,0.665,7.576,0.661,5.209,0.113,0.357,0.175,1.051,0.810
1477010444400000,7.842,0.942,5.100,0.712,7.576,0.661,5.209,0.113,0.355,0.180,1.033,0.804
1477010444450000,8.097,0.979,5.089,0.762,8.100,0.704,5.002,0.141,0.349,0.184,1.016,0.798
1477010444500000,8.351,1.018,5.078,0.813,8.100,0.704,5.002,0.141,0.346,0.189,1.000,0.795
1477010444550000,8.605,1.060,5.065,0.865,8.610,0.877,5.250,0.432,0.341,0.189,0.984,0.786
1477010444600000,8.858,1.105,5.052,0.919,8.610,0.877,5.250,0.432,0.338,0.191,0.970,0.779
1477010444650000,9.110,1.152,5.038,0.974,9.207,0.949,5.280,0.466,0.333,0.191,0.957,0.772
1477010444700000,9.362,1.202,5.023,1.031,9.207,0.949,5.280,0.466,0.330,0.193,0.944,0.767
1477010444750000,9.613,1.255,5.007,1.089,9.766,1.093,5.293,0.601,0.326,0.192,0.932,0.760
1477010444800000,9.863,1.311,4.989,1.148,9.766,1.093,5.293,0.601,0.322,0.193,0.921,0.755
1477010444850000,10.112,1.370,4.971,1.208,10.281,1.247,5.039,0.687,0.319,0.191,0.908,0.750
1477010444900000,10.360,1.432,4.951,1.270,10.281,1.247,5.039,0.687,0.315,0.191,0.897,0.746
1477010444950000,10.607,1.497,4.930,1.333,10.760,1.380,4.782,0.737,0.312,0.190,0.886,0.743
1477010445000000,10.853,1.565,4.908,1.397,10.760,1.380,4.782,0.737,0.309,0.190,0.875,0.741
1477010445050000,11.098,1.637,4.884,1.462,11.282,1.440,4.950,0.727,0.306,0.190,0.865,0.741
1477010445100000,11.342,1.712,4.859,1.528,11.282,1.440,4.950,0.727,0.303,0.192,0.855,0.742
1477010445150000,11.584,1.790,4.833,1.596,11.740,1.521,4.864,0.734,0.300,0.194,0.845,0.745
1477010445200000,11.825,1.871,4.805,1.664,11.740,1.521,4.864,0.734,0.297,0.199,0.836,0.750
1477010445250000,12.065,1.956,4.776,1.733,12.232,1.703,5.017,0.902,0.295,0.200,0.827,0.752
1477010445300000,12.303,2.045,4.745,1.803,12.232,1.703,5.017,0.902,0.292,0.204,0.819,0.755
1477010445350000,12.539,2.137,4.713,1.873,12.730,1.792,5.115,0.914,0.290,0.208,0.813,0.760
1477010445400000,12.774,2.232,4.678,1.945,12.730,1.792,5.115,0.914,0.287,0.216,0.807,0.767
1477010445450000,13.007,2.331,4.643,2.017,13.245,2.027,5.214,1.111,0.286,0.218,0.803,0.770
1477010445500000,13.239,2.434,4.605,2.090,13.245,2.027,5.214,1.111,0.284,0.223,0.800,0.774
1477010445550000,13.468,2.540,4.566,2.163,13.628,2.183,4.758,1.075,0.282,0.226,0.792,0.781
1477010445600000,13.696,2.651,4.524,2.237,13.628,2.183,4.758,1.075,0.279,0.233,0.785,0.790
1477010445650000,13.921,2.764,4.481,2.311,14.070,2.358,4.698,1.154,0.277,0.237,0.779,0.799
1477010445700000,14.144,2.882,4.437,2.386,14.070,2.358,4.698,1.154,0.275,0.246,0.772,0.809
1477010445750000,14.365,3.003,4.390,2.461,14.562,2.536,4.889,1.254,0.274,0.251,0.768,0.817
1477010445800000,14.583,3.128,4.341,2.536,14.562,2.536,4.889,1.254,0.271,0.261,0.765,0.828
1477010445850000,14.799,3.257,4.290,2.612,15.011,2.859,4.889,1.494,0.270,0.264,0.762,0.834
