time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.000,0.000,0.000,0.000,0.600,0.600,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.863,0.534,4.160,2.575,0.424,0.427,3.750,1.820
1477010443100000,1.120,0.600,5.199,0.005,0.863,0.534,4.160,2.575,0.377,0.351,3.120,2.100
1477010443150000,1.380,0.601,5.199,0.011,0.937,0.465,4.402,0.976,0.394,0.311,2.731,1.881
1477010443200000,1.640,0.601,5.198,0.018,0.937,0.465,4.402,0.976,0.473,0.285,2.469,1.736
1477010443250000,1.900,0.602,5.198,0.027,1.549,0.455,5.469,-0.370,0.455,0.267,2.256,1.593
1477010443300000,2.160,0.604,5.197,0.038,1.549,0.455,5.469,-0.370,0.480,0.253,2.091,1.483
1477010443350000,2.420,0.606,5.196,0.050,1.958,0.515,4.996,0.612,0.478,0.239,1.958,1.402
1477010443400000,2.679,0.609,5.195,0.065,1.958,0.515,4.996,0.612,0.511,0.228,1.847,1.334
1477010443450000,2.939,0.613,5.193,0.081,2.585,0.579,5.208,0.404,0.497,0.216,1.752,1.270
1477010443500000,3.199,0.617,5.191,0.099,2.585,0.579,5.208,0.404,0.509,0.207,1.671,1.214
1477010443550000,3.458,0.623,5.190,0.118,3.198,0.484,5.360,-0.622,0.493,0.202,1.600,1.182
1477010443600000,3.718,0.629,5.188,0.140,3.198,0.484,5.360,-0.622,0.495,0.198,1.538,1.155
1477010443650000,3.977,0.637,5.185,0.163,3.784,0.573,5.376,0.258,0.480,0.192,1.483,1.113
1477010443700000,4.236,0.645,5.183,0.188,3.784,0.573,5.376,0.258,0.478,0.186,1.434,1.076
1477010443750000,4.495,0.655,5.180,0.214,4.350,0.634,5.188,0.407,0.464,0.180,1.388,1.043
1477010443800000,4.754,0.667,5.176,0.243,4.350,0.634,5.188,0.407,0.461,0.175,1.347,1.012
1477010443850000,5.013,0.680,5.173,0.273,4.902,0.645,4.956,0.186,0.449,0.170,1.310,0.984
1477010443900000,5.272,0.694,5.169,0.304,4.902,0.645,4.956,0.186,0.445,0.166,1.276,0.958
1477010443950000,5.530,0.710,5.164,0.338,5.401,0.662,5.306,0.219,0.435,0.162,1.244,0.934
1477010444000000,5.788,0.728,5.159,0.373,5.401,0.662,5.306,0.219,0.433,0.159,1.214,0.912
1477010444050000,6.046,0.748,5.154,0.410,5.911,0.502,5.059,-0.719,0.424,0.164,1.187,0.923
1477010444100000,6.304,0.769,5.148,0.448,5.911,0.502,5.059,-0.719,0.422,0.170,1.161,0.935
1477010444150000,6.561,0.793,5.142,0.488,6.412,0.652,4.950,0.371,0.414,0.169,1.137,0.916
1477010444200000,6.818,0.818,5.135,0.530,6.412,0.652,4.950,0.371,0.414,0.168,1.114,0.898
1477010444250000,7.075,0.846,5.127,0.573,6.937,0.639,4.760,0.103,0.407,0.170,1.095,0.885
1477010444300000,7.331,0.875,5.119,0.618,6.937,0.639,4.760,0.103,0.407,0.173,1.077,0.874
1477010444350000,7.587,0.907,5.109,0.665,7.518,0.720,5.300,0.430,0.399,0.174,1.058,0.860
1477010444400000,7.842,0.942,5.100,0.712,7.518,0.720,5.300,0.430,0.397,0.175,1.040,0.846
1477010444450000,8.097,0.979,5.089,0.762,8.051,0.811,4.878,0.591,0.390,0.175,1.024,0.833
1477010444500000,8.351,1.018,5.078,0.813,8.051,0.811,4.878,0.591,0.388,0.176,1.008,0.820
1477010444550000,8.605,1.060,5.065,0.865,8.528,1.177,5.174,1.929,0.382,0.175,0.992,0.829
1477010444600000,8.858,1.105,5.052,0.919,8.528,1.177,5.174,1.929,0.381,0.173,0.977,0.835
1477010444650000,9.110,1.152,5.038,0.974,9.135,1.210,5.181,1.227,0.375,0.170,0.963,0.824
1477010444700000,9.362,1.202,5.023,1.031,9.135,1.210,5.181,1.227,0.372,0.168,0.949,0.813
1477010444750000,9.613,1.255,5.007,1.089,9.691,1.405,5.177,1.492,0.367,0.167,0.937,0.804
1477010444800000,9.863,1.311,4.989,1.148,9.691,1.405,5.177,1.492,0.363,0.166,0.924,0.795
1477010444850000,10.112,1.370,4.971,1.208,10.205,1.615,4.765,1.656,0.358,0.168,0.913,0.788
1477010444900000,10.360,1.432,4.951,1.270,10.205,1.615,4.765,1.656,0.354,0.169,0.901,0.780
1477010444950000,10.607,1.497,4.930,1.333,10.688,1.724,4.508,1.404,0.350,0.170,0.893,0.770
1477010445000000,10.853,1.565,4.908,1.397,10.688,1.724,4.508,1.404,0.347,0.170,0.884,0.761
1477010445050000,11.098,1.637,4.884,1.462,11.222,1.633,4.981,0.574,0.343,0.168,0.873,0.764
1477010445100000,11.342,1.712,4.859,1.528,11.222,1.633,4.981,0.574,0.340,0.167,0.863,0.769
1477010445150000,11.584,1.790,4.833,1.596,11.695,1.629,4.889,0.353,0.336,0.167,0.854,0.783
1477010445200000,11.825,1.871,4.805,1.664,11.695,1.629,4.889,0.353,0.333,0.169,0.844,0.799
1477010445250000,12.065,1.956,4.776,1.733,12.170,1.900,5.035,1.227,0.330,0.167,0.836,0.793
1477010445300000,12.303,2.045,4.745,1.803,12.170,1.900,5.035,1.227,0.327,0.167,0.828,0.789
1477010445350000,12.539,2.137,4.713,1.873,12.682,1.916,5.192,0.874,0.324,0.168,0.822,0.794
1477010445400000,12.774,2.232,4.678,1.945,12.682,1.916,5.192,0.874,0.321,0.172,0.817,0.801
1477010445450000,13.007,2.331,4.643,2.017,13.171,2.303,5.139,1.914,0.319,0.170,0.812,0.793
1477010445500000,13.239,2.434,4.605,2.090,13.171,2.303,5.139,1.914,0.316,0.170,0.807,0.786
1477010445550000,13.468,2.540,4.566,2.163,13.486,2.833,4.167,2.962,0.313,0.173,0.801,0.786
1477010445600000,13.696,2.651,4.524,2.237,13.486,2.833,4.167,2.962,0.311,0.173,0.795,0.785
1477010445650000,13.921,2.764,4.481,2.311,13.926,2.965,4.336,2.435,0.308,0.174,0.788,0.778
1477010445700000,14.144,2.882,4.437,2.386,13.926,2.965,4.336,2.435,0.307,0.172,0.781,0.771
1477010445750000,14.365,3.003,4.390,2.461,14.429,3.053,4.793,1.971,0.304,0.171,0.776,0.767
1477010445800000,14.583,3.128,4.341,2.536,14.429,3.053,4.793,1.971,0.302,0.170,0.771,0.763
1477010445850000,14.799,3.257,4.290,2.612,14.830,3.572,4.566,3.009,0.299,0.173,0.766,0.759
