time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.886,0.312,8.149,-3.868,0.204,0.204,4.227,2.737
1477010443100000,1.120,0.600,5.199,0.005,1.164,0.461,4.369,2.246,0.169,0.185,3.485,2.582
1477010443150000,1.380,0.601,5.199,0.011,1.298,0.538,4.100,2.275,0.152,0.163,3.067,2.506
1477010443200000,1.640,0.601,5.198,0.018,1.557,0.661,4.180,2.151,0.141,0.148,2.781,2.436
1477010443250000,1.900,0.602,5.198,0.027,1.824,0.659,4.659,1.517,0.132,0.137,2.548,2.306
1477010443300000,2.160,0.604,5.197,0.038,2.092,0.728,4.714,1.421,0.125,0.136,2.366,2.198
1477010443350000,2.420,0.606,5.196,0.050,2.332,0.741,4.818,1.193,0.121,0.136,2.218,2.095
1477010443400000,2.679,0.609,5.195,0.065,2.590,0.786,4.851,1.115,0.118,0.141,2.094,2.006
1477010443450000,2.939,0.613,5.193,0.081,2.869,0.777,5.003,0.871,0.114,0.143,1.987,1.919
1477010443500000,3.199,0.617,5.191,0.099,3.098,0.794,4.985,0.798,0.113,0.147,1.896,1.842
1477010443550000,3.458,0.623,5.190,0.118,3.384,0.727,5.104,0.427,0.110,0.144,1.815,1.766
1477010443600000,3.718,0.629,5.188,0.140,3.691,0.673,5.191,0.160,0.106,0.138,1.744,1.697
1477010443650000,3.977,0.637,5.185,0.163,3.978,0.679,5.319,0.161,0.102,0.134,1.681,1.635
1477010443700000,4.236,0.645,5.183,0.188,4.257,0.665,5.342,0.092,0.099,0.129,1.625,1.580
1477010443750000,4.495,0.655,5.180,0.214,4.519,0.670,5.278,0.085,0.096,0.125,1.573,1.530
1477010443800000,4.754,0.667,5.176,0.243,4.706,0.727,5.153,0.255,0.094,0.122,1.526,1.484
1477010443850000,5.013,0.680,5.173,0.273,4.961,0.717,5.054,0.177,0.092,0.119,1.483,1.443
1477010443900000,5.272,0.694,5.169,0.304,5.266,0.704,5.139,0.108,0.090,0.116,1.444,1.405
1477010443950000,5.530,0.710,5.164,0.338,5.528,0.703,5.246,0.103,0.087,0.113,1.407,1.370
1477010444000000,5.788,0.728,5.159,0.373,5.828,0.705,5.308,0.090,0.086,0.111,1.374,1.339
1477010444050000,6.046,0.748,5.154,0.410,6.067,0.653,5.150,-0.069,0.084,0.110,1.342,1.312
1477010444100000,6.304,0.769,5.148,0.448,6.324,0.724,5.144,0.131,0.082,0.108,1.313,1.285
1477010444150000,6.561,0.793,5.142,0.488,6.575,0.745,5.096,0.165,0.080,0.106,1.285,1.259
1477010444200000,6.818,0.818,5.135,0.530,6.823,0.744,5.085,0.140,0.079,0.105,1.259,1.236
1477010444250000,7.075,0.846,5.127,0.573,7.064,0.730,4.937,0.078,0.077,0.105,1.235,1.216
1477010444300000,7.331,0.875,5.119,0.618,7.280,0.798,4.881,0.245,0.076,0.105,1.213,1.196
1477010444350000,7.587,0.907,5.109,0.665,7.579,0.810,5.140,0.257,0.075,0.104,1.191,1.177
1477010444400000,7.842,0.942,5.100,0.712,7.833,0.793,5.136,0.182,0.074,0.106,1.171,1.160
1477010444450000,8.097,0.979,5.089,0.762,8.081,0.807,5.006,0.183,0.073,0.109,1.151,1.146
1477010444500000,8.351,1.018,5.078,0.813,8.318,0.825,4.982,0.205,0.072,0.113,1.132,1.132
1477010444550000,8.605,1.060,5.065,0.865,8.589,0.910,5.187,0.420,0.071,0.114,1.115,1.117
1477010444600000,8.858,1.105,5.052,0.919,8.830,0.968,5.151,0.513,0.070,0.115,1.098,1.103
1477010444650000,9.110,1.152,5.038,0.974,9.122,1.003,5.219,0.533,0.069,0.116,1.082,1.089
1477010444700000,9.362,1.202,5.023,1.031,9.362,1.038,5.183,0.556,0.068,0.118,1.067,1.076
1477010444750000,9.613,1.255,5.007,1.089,9.643,1.105,5.238,0.654,0.067,0.119,1.053,1.064
1477010444800000,9.863,1.311,4.989,1.148,9.922,1.232,5.255,0.879,0.067,0.118,1.039,1.050
1477010444850000,10.112,1.370,4.971,1.208,10.168,1.306,5.067,0.927,0.067,0.117,1.026,1.037
1477010444900000,10.360,1.432,4.951,1.270,10.391,1.390,5.011,1.022,0.066,0.115,1.012,1.025
1477010444950000,10.607,1.497,4.930,1.333,10.622,1.456,4.814,1.034,0.065,0.114,1.000,1.013
1477010445000000,10.853,1.565,4.908,1.397,10.843,1.493,4.782,1.002,0.064,0.113,0.988,1.002
1477010445050000,11.098,1.637,4.884,1.462,11.113,1.534,4.911,0.985,0.064,0.113,0.976,0.993
1477010445100000,11.342,1.712,4.859,1.528,11.395,1.588,4.971,0.992,0.063,0.113,0.965,0.985
1477010445150000,11.584,1.790,4.833,1.596,11.627,1.630,4.889,0.969,0.063,0.115,0.954,0.978
1477010445200000,11.825,1.871,4.805,1.664,11.855,1.703,4.859,1.028,0.062,0.116,0.943,0.972
1477010445250000,12.065,1.956,4.776,1.733,12.115,1.784,4.978,1.114,0.062,0.118,0.933,0.966
1477010445300000,12.303,2.045,4.745,1.803,12.358,1.822,4.971,1.074,0.062,0.121,0.924,0.961
1477010445350000,12.539,2.137,4.713,1.873,12.618,1.872,5.062,1.072,0.062,0.125,0.916,0.958
1477010445400000,12.774,2.232,4.678,1.945,12.820,2.015,4.966,1.290,0.062,0.128,0.907,0.953
1477010445450000,13.007,2.331,4.643,2.017,13.091,2.117,5.095,1.397,0.063,0.130,0.900,0.947
1477010445500000,13.239,2.434,4.605,2.090,13.297,2.268,5.003,1.592,0.063,0.131,0.893,0.941
1477010445550000,13.468,2.540,4.566,2.163,13.475,2.378,4.683,1.626,0.062,0.132,0.885,0.934
1477010445600000,13.696,2.651,4.524,2.237,13.724,2.510,4.701,1.740,0.061,0.132,0.877,0.928
1477010445650000,13.921,2.764,4.481,2.311,13.946,2.603,4.640,1.750,0.061,0.133,0.869,0.923
1477010445700000,14.144,2.882,4.437,2.386,14.175,2.773,4.622,1.942,0.061,0.132,0.861,0.916
1477010445750000,14.365,3.003,4.390,2.461,14.430,2.873,4.754,1.963,0.061,0.132,0.855,0.910
1477010445800000,14.583,3.128,4.341,2.536,14.636,2.957,4.702,1.935,0.061,0.133,0.849,0.906
1477010445850000,14.799,3.257,4.290,2.612,14.870,3.098,4.740,2.051,0.061,0.133,0.843,0.901
1477010445900000,15.012,3.389,4.237,2.687,15.082,3.306,4.678,2.299,0.061,0.133,0.838,0.895
1477010445950000,15.223,3.526,4.183,2.762,15.296,3.445,4.523,2.325,0.061,0.132,0.832,0.889
1477010446000000,15.431,3.666,4.126,2.838,15.511,3.651,4.488,2.533,0.061,0.131,0.827,0.883
1477010446050000,15.636,3.810,4.067,2.913,15.726,3.762,4.425,2.487,0.062,0.130,0.821,0.877
