time,gt_x,gt_y,gt_vx,gt_vy,est_x,est_y,est_vx,est_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1477010443000000,0.600,0.600,5.200,0.000,0.312,0.580,0.000,0.000,0.288,0.020,5.200,0.000
1477010443050000,0.860,0.600,5.200,0.002,0.886,0.312,8.149,-3.868,0.204,0.204,4.227,2.737
1477010443100000,1.120,0.600,5.199,0.005,1.164,0.461,4.370,2.246,0.169,0.185,3.485,2.582
1477010443150000,1.380,0.601,5.199,0.011,1.299,0.538,4.073,2.246,0.152,0.163,3.070,2.500
1477010443200000,1.640,0.601,5.198,0.018,1.557,0.659,4.157,2.119,0.141,0.148,2.785,2.425
1477010443250000,1.900,0.602,5.198,0.027,1.823,0.654,4.735,1.445,0.132,0.137,2.549,2.288
1477010443300000,2.160,0.604,5.197,0.038,2.094,0.720,4.795,1.339,0.125,0.134,2.365,2.175
1477010443350000,2.420,0.606,5.196,0.050,2.333,0.729,4.899,1.066,0.121,0.133,2.215,2.066
1477010443400000,2.679,0.609,5.195,0.065,2.595,0.767,4.938,0.969,0.117,0.136,2.090,1.971
1477010443450000,2.939,0.613,5.193,0.081,2.873,0.748,5.124,0.643,0.113,0.136,1.983,1.878
1477010443500000,3.199,0.617,5.191,0.099,3.106,0.755,5.102,0.548,0.111,0.136,1.891,1.796
1477010443550000,3.458,0.623,5.190,0.118,3.395,0.664,5.233,0.016,0.108,0.131,1.810,1.720
1477010443600000,3.718,0.629,5.188,0.140,3.707,0.584,5.347,-0.359,0.104,0.126,1.740,1.658
1477010443650000,3.977,0.637,5.185,0.163,3.989,0.601,5.451,-0.206,0.100,0.122,1.678,1.601
1477010443700000,4.236,0.645,5.183,0.188,4.271,0.586,5.468,-0.225,0.097,0.119,1.623,1.550
1477010443750000,4.495,0.655,5.180,0.214,4.528,0.605,5.290,-0.124,0.095,0.116,1.571,1.503
1477010443800000,4.754,0.667,5.176,0.243,4.708,0.692,5.108,0.256,0.092,0.112,1.525,1.459
1477010443850000,5.013,0.680,5.173,0.273,4.963,0.685,4.972,0.163,0.091,0.109,1.482,1.418
1477010443900000,5.272,0.694,5.169,0.304,5.266,0.673,5.080,0.078,0.088,0.107,1.443,1.381
1477010443950000,5.530,0.710,5.164,0.338,5.527,0.677,5.285,0.100,0.086,0.104,1.407,1.347
1477010444000000,5.788,0.728,5.159,0.373,5.830,0.686,5.359,0.106,0.084,0.102,1.374,1.316
1477010444050000,6.046,0.748,5.154,0.410,6.070,0.620,5.093,-0.159,0.083,0.103,1.342,1.291
1477010444100000,6.304,0.769,5.148,0.448,6.322,0.722,5.076,0.236,0.081,0.101,1.313,1.264
1477010444150000,6.561,0.793,5.142,0.488,6.572,0.754,5.033,0.303,0.079,0.100,1.285,1.238
1477010444200000,6.818,0.818,5.135,0.530,6.818,0.751,5.025,0.240,0.078,0.099,1.259,1.214
1477010444250000,7.075,0.846,5.127,0.573,7.060,0.733,4.823,0.124,0.076,0.099,1.236,1.194
1477010444300000,7.331,0.875,5.119,0.618,7.269,0.822,4.750,0.410,0.076,0.098,1.215,1.172
1477010444350000,7.587,0.907,5.109,0.665,7.571,0.835,5.202,0.410,0.074,0.097,1.194,1.152
1477010444400000,7.842,0.942,5.100,0.712,7.829,0.805,5.206,0.239,0.073,0.099,1.173,1.135
1477010444450000,8.097,0.979,5.089,0.762,8.078,0.821,4.952,0.231,0.072,0.101,1.154,1.120
1477010444500000,8.351,1.018,5.078,0.813,8.312,0.837,4.925,0.248,0.071,0.105,1.135,1.107
1477010444550000,8.605,1.060,5.065,0.865,8.581,0.947,5.264,0.626,0.070,0.105,1.118,1.090
1477010444600000,8.858,1.105,5.052,0.919,8.825,1.008,5.220,0.729,0.069,0.105,1.101,1.074
1477010444650000,9.110,1.152,5.038,0.974,9.118,1.049,5.247,0.732,0.068,0.105,1.085,1.059
1477010444700000,9.362,1.202,5.023,1.031,9.361,1.074,5.209,0.701,0.067,0.105,1.070,1.045
1477010444750000,9.613,1.255,5.007,1.089,9.640,1.156,5.251,0.852,0.067,0.105,1.056,1.031
1477010444800000,9.863,1.311,4.989,1.148,9.919,1.293,5.266,1.156,0.066,0.104,1.043,1.017
1477010444850000,10.112,1.370,4.971,1.208,10.164,1.384,4.936,1.219,0.066,0.103,1.029,1.004
1477010444900000,10.360,1.432,4.951,1.270,10.382,1.456,4.877,1.262,0.065,0.101,1.016,0.991
1477010444950000,10.607,1.497,4.930,1.333,10.613,1.533,4.624,1.274,0.064,0.100,1.004,0.979
1477010445000000,10.853,1.565,4.908,1.397,10.830,1.542,4.608,1.102,0.064,0.099,0.993,0.968
1477010445050000,11.098,1.637,4.884,1.462,11.103,1.578,4.892,1.054,0.063,0.098,0.981,0.958
1477010445100000,11.342,1.712,4.859,1.528,11.389,1.615,4.976,0.999,0.063,0.098,0.970,0.950
1477010445150000,11.584,1.790,4.833,1.596,11.621,1.653,4.853,0.950,0.062,0.099,0.959,0.945
1477010445200000,11.825,1.871,4.805,1.664,11.848,1.722,4.818,1.022,0.062,0.101,0.948,0.939
1477010445250000,12.065,1.956,4.776,1.733,12.107,1.811,5.019,1.173,0.061,0.102,0.938,0.932
1477010445300000,12.303,2.045,4.745,1.803,12.356,1.835,5.021,1.063,0.061,0.105,0.929,0.929
1477010445350000,12.539,2.137,4.713,1.873,12.615,1.881,5.136,1.050,0.061,0.111,0.921,0.926
1477010445400000,12.774,2.232,4.678,1.945,12.815,2.045,5.002,1.416,0.061,0.113,0.913,0.920
1477010445450000,13.007,2.331,4.643,2.017,13.084,2.162,5.156,1.587,0.061,0.114,0.907,0.913
1477010445500000,13.239,2.434,4.605,2.090,13.291,2.322,5.034,1.854,0.061,0.114,0.900,0.904
1477010445550000,13.468,2.540,4.566,2.163,13.462,2.456,4.509,1.917,0.061,0.113,0.891,0.896
1477010445600000,13.696,2.651,4.524,2.237,13.709,2.575,4.548,1.980,0.060,0.113,0.883,0.889
1477010445650000,13.921,2.764,4.481,2.311,13.930,2.678,4.519,1.995,0.060,0.112,0.875,0.881
1477010445700000,14.144,2.882,4.437,2.386,14.157,2.844,4.505,2.201,0.059,0.112,0.867,0.874
1477010445750000,14.365,3.003,4.390,2.461,14.411,2.952,4.740,2.220,0.059,0.111,0.860,0.866
1477010445800000,14.583,3.128,4.341,2.536,14.623,3.007,4.704,2.052,0.059,0.111,0.854,0.861
1477010445850000,14.799,3.257,4.290,2.612,14.854,3.164,4.739,2.243,0.058,0.111,0.849,0.855
1477010445900000,15.012,3.389,4.237,2.687,15.066,3.377,4.657,2.563,0.058,0.110,0.843,0.848
1477010445950000,15.223,3.526,4.183,2.762,15.276,3.534,4.383,2.600,0.058,0.109,0.836,0.841
1477010446000000,15.431,3.666,4.126,2.838,15.489,3.732,4.351,2.810,0.058,0.108,0.830,0.834
1477010446050000,15.636,3.810,4.067,2.913,15.703,3.847,4.298,2.720,0.058,0.107,0.824,0.828
